test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,47.27,11.09,42.00
CPUStress,32,10,55.62,11.16,41.50
CPUStress,32,20,64.23,11.36,42.20
CPUStress,32,30,70.83,11.29,42.50
CPUStress,32,40,76.30,11.11,42.90
CPUStress,32,50,83.30,11.45,43.80
CPUStress,32,60,88.28,11.65,44.80
CPUStress,32,70,90.52,11.44,45.60
CPUStress,32,80,93.95,11.47,47.10
CPUStress,32,90,95.03,11.31,47.70
CPUStress,32,100,96.14,11.25,48.40
ipsec,32,100,104.25,11.12,49.20
VMStress,32,100,91.56,32.98,46.50
maximize,32,100,96.46,16.97,49.20
