test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,47.45,10.92,42.90
CPUStress,32,10,61.34,11.13,42.10
CPUStress,32,20,72.00,11.18,42.90
CPUStress,32,30,79.57,11.22,43.30
CPUStress,32,40,88.52,11.48,44.70
CPUStress,32,50,94.82,11.63,45.60
CPUStress,32,60,100.97,11.63,47.10
CPUStress,32,70,105.77,11.80,48.50
CPUStress,32,80,107.99,11.62,49.40
CPUStress,32,90,110.47,11.51,50.50
CPUStress,32,100,113.45,11.51,50.90
ipsec,32,100,117.32,10.77,51.90
VMStress,32,100,103.61,33.87,49.00
maximize,32,100,110.49,18.12,51.30
