test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,47.61,11.19,40.50
CPUStress,32,10,62.09,11.29,41.80
CPUStress,32,20,72.49,11.36,42.10
CPUStress,32,30,79.70,11.30,42.70
CPUStress,32,40,86.97,11.24,43.40
CPUStress,32,50,93.10,11.24,44.60
CPUStress,32,60,99.75,11.52,45.90
CPUStress,32,70,103.52,11.48,47.20
CPUStress,32,80,107.68,11.43,48.60
CPUStress,32,90,109.37,11.31,49.60
CPUStress,32,100,111.94,11.39,50.20
ipsec,32,100,121.01,11.05,50.90
VMStress,32,100,104.59,33.20,48.90
maximize,32,100,110.82,17.51,50.40
