test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,49.94,11.34,43.10
CPUStress,32,10,62.99,11.41,43.00
CPUStress,32,20,71.53,11.26,43.30
CPUStress,32,30,80.64,11.40,43.20
CPUStress,32,40,87.42,11.42,44.20
CPUStress,32,50,94.82,11.50,45.50
CPUStress,32,60,99.69,11.34,47.10
CPUStress,32,70,105.22,11.58,48.20
CPUStress,32,80,107.18,11.61,49.00
CPUStress,32,90,111.59,11.67,49.90
CPUStress,32,100,111.94,11.41,50.80
ipsec,32,100,121.18,11.01,52.20
VMStress,32,100,102.98,33.41,48.90
maximize,32,100,111.14,17.62,51.40
