test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,46.39,9.61,37.60
CPUStress,32,10,59.22,9.87,36.30
CPUStress,32,20,69.89,10.22,36.50
CPUStress,32,30,78.78,10.29,37.90
CPUStress,32,40,86.42,10.16,39.00
CPUStress,32,50,91.87,10.01,40.20
CPUStress,32,60,98.79,10.17,41.40
CPUStress,32,70,102.47,10.24,42.60
CPUStress,32,80,106.13,10.24,43.40
CPUStress,32,90,108.25,10.30,44.30
CPUStress,32,100,110.41,10.21,44.90
ipsec,32,100,119.49,9.53,46.40
VMStress,32,100,102.31,31.02,43.20
maximize,32,100,109.41,16.67,46.40
