test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,46.42,9.52,36.50
CPUStress,32,10,59.16,9.60,35.20
CPUStress,32,20,70.06,9.70,36.50
CPUStress,32,30,77.85,9.99,37.40
CPUStress,32,40,85.74,10.05,37.70
CPUStress,32,50,92.24,10.21,39.10
CPUStress,32,60,98.38,10.19,40.20
CPUStress,32,70,101.34,10.11,42.30
CPUStress,32,80,105.80,10.28,43.10
CPUStress,32,90,109.95,10.52,43.90
CPUStress,32,100,110.43,10.21,44.90
ipsec,32,100,119.07,9.77,46.10
VMStress,32,100,102.87,31.37,43.60
maximize,32,100,109.56,16.87,45.60
