test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,46.33,9.64,36.00
CPUStress,32,10,54.65,9.78,35.60
CPUStress,32,20,62.70,9.98,35.90
CPUStress,32,30,69.84,10.13,36.20
CPUStress,32,40,75.94,10.23,37.40
CPUStress,32,50,82.56,10.37,37.70
CPUStress,32,60,85.87,10.26,39.10
CPUStress,32,70,90.71,10.31,40.10
CPUStress,32,80,93.04,10.24,41.40
CPUStress,32,90,95.05,10.23,42.00
CPUStress,32,100,97.17,10.28,43.10
ipsec,32,100,103.81,9.67,44.20
VMStress,32,100,91.46,31.99,41.40
maximize,32,100,96.27,15.60,43.60
