test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,46.67,9.96,31.20
CPUStress,32,10,61.27,10.11,32.20
CPUStress,32,20,70.07,10.10,34.00
CPUStress,32,30,77.91,10.00,36.60
CPUStress,32,40,87.09,10.33,37.10
CPUStress,32,50,91.70,10.14,39.60
CPUStress,32,60,97.97,10.24,41.00
CPUStress,32,70,100.15,10.06,41.80
CPUStress,32,80,104.78,10.20,44.20
CPUStress,32,90,109.20,10.29,44.90
CPUStress,32,100,110.44,10.15,45.30
ipsec,32,100,119.61,9.78,46.60
VMStress,32,100,102.04,32.34,43.30
maximize,32,100,110.03,16.37,46.30
