test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,48.44,9.54,37.10
CPUStress,32,10,60.54,9.58,36.50
CPUStress,32,20,70.39,9.87,37.30
CPUStress,32,30,78.99,9.87,37.30
CPUStress,32,40,86.08,9.98,38.90
CPUStress,32,50,91.84,10.01,39.70
CPUStress,32,60,97.75,10.14,40.60
CPUStress,32,70,103.83,10.20,41.70
CPUStress,32,80,105.66,10.03,43.50
CPUStress,32,90,108.06,10.04,44.40
CPUStress,32,100,110.30,10.12,44.90
ipsec,32,100,119.62,9.48,46.30
VMStress,32,100,101.95,32.36,43.50
maximize,32,100,109.38,17.00,45.90
