test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,46.63,9.92,38.00
CPUStress,32,10,60.36,10.04,37.00
CPUStress,32,20,70.87,10.12,37.80
CPUStress,32,30,78.69,10.18,37.70
CPUStress,32,40,86.48,10.40,38.90
CPUStress,32,50,92.66,10.33,40.60
CPUStress,32,60,97.83,10.37,41.60
CPUStress,32,70,102.84,10.49,43.00
CPUStress,32,80,105.76,10.47,44.60
CPUStress,32,90,110.95,10.60,45.30
CPUStress,32,100,110.68,10.34,46.20
ipsec,32,100,119.77,9.93,47.50
VMStress,32,100,102.23,32.48,44.80
maximize,32,100,110.45,18.16,47.20
