start_ms,end_ms,duration_ms,start_time,end_time
1772212093000,1772212095000,2000,2026-02-27 17:08:13,2026-02-27 17:08:15
1772212111000,1772212502000,391000,2026-02-27 17:08:31,2026-02-27 17:15:02
1772212505000,1772213463000,958000,2026-02-27 17:15:05,2026-02-27 17:31:03
1772213467000,1772214168000,701000,2026-02-27 17:31:07,2026-02-27 17:42:48
1772214177000,1772215742000,1565000,2026-02-27 17:42:57,2026-02-27 18:09:02
1772215994000,1772216024000,30000,2026-02-27 18:13:14,2026-02-27 18:13:44
1772216214000,1772216217000,3000,2026-02-27 18:16:54,2026-02-27 18:16:57
1772216231000,1772216235000,4000,2026-02-27 18:17:11,2026-02-27 18:17:15
1772216239000,1772216251000,12000,2026-02-27 18:17:19,2026-02-27 18:17:31
1772216254000,1772216362000,108000,2026-02-27 18:17:34,2026-02-27 18:19:22
1772216364000,1772217963000,1599000,2026-02-27 18:19:24,2026-02-27 18:46:03
1772217966000,1772218005000,39000,2026-02-27 18:46:06,2026-02-27 18:46:45
1772218008000,1772218042000,34000,2026-02-27 18:46:48,2026-02-27 18:47:22
1772218046000,1772218144000,98000,2026-02-27 18:47:26,2026-02-27 18:49:04
1772218147000,1772218206000,59000,2026-02-27 18:49:07,2026-02-27 18:50:06
1772218208000,1772218236000,28000,2026-02-27 18:50:08,2026-02-27 18:50:36
1772218238000,1772218757000,519000,2026-02-27 18:50:38,2026-02-27 18:59:17
1772218760000,1772219955000,1195000,2026-02-27 18:59:20,2026-02-27 19:19:15
1772219989000,1772220060000,71000,2026-02-27 19:19:49,2026-02-27 19:21:00
1772220064000,1772220374000,310000,2026-02-27 19:21:04,2026-02-27 19:26:14
1772220379000,1772220713000,334000,2026-02-27 19:26:19,2026-02-27 19:31:53
1772220723000,1772220723000,0,2026-02-27 19:32:03,2026-02-27 19:32:03
1772221060000,1772221382000,322000,2026-02-27 19:37:40,2026-02-27 19:43:02
1772221391000,1772221392000,1000,2026-02-27 19:43:11,2026-02-27 19:43:12
1772221401000,1772221401000,0,2026-02-27 19:43:21,2026-02-27 19:43:21
1772221404000,1772221414000,10000,2026-02-27 19:43:24,2026-02-27 19:43:34
1772221419000,1772221420000,1000,2026-02-27 19:43:39,2026-02-27 19:43:40
1772221424000,1772221434000,10000,2026-02-27 19:43:44,2026-02-27 19:43:54
1772221439000,1772221439000,0,2026-02-27 19:43:59,2026-02-27 19:43:59
1772221444000,1772221480000,36000,2026-02-27 19:44:04,2026-02-27 19:44:40
1772221484000,1772221505000,21000,2026-02-27 19:44:44,2026-02-27 19:45:05
1772221509000,1772221530000,21000,2026-02-27 19:45:09,2026-02-27 19:45:30
1772221535000,1772221900000,365000,2026-02-27 19:45:35,2026-02-27 19:51:40
1772221904000,1772221992000,88000,2026-02-27 19:51:44,2026-02-27 19:53:12
1772221996000,1772222475000,479000,2026-02-27 19:53:16,2026-02-27 20:01:15
1772222478000,1772222505000,27000,2026-02-27 20:01:18,2026-02-27 20:01:45
1772222512000,1772222539000,27000,2026-02-27 20:01:52,2026-02-27 20:02:19
1772222540000,1772222628000,88000,2026-02-27 20:02:20,2026-02-27 20:03:48
1772222634000,1772222722000,88000,2026-02-27 20:03:54,2026-02-27 20:05:22
1772222726000,1772223074000,348000,2026-02-27 20:05:26,2026-02-27 20:11:14
1772223077000,1772223516000,439000,2026-02-27 20:11:17,2026-02-27 20:18:36
1772223519000,1772223853000,334000,2026-02-27 20:18:39,2026-02-27 20:24:13
1772223856000,1772224194000,338000,2026-02-27 20:24:16,2026-02-27 20:29:54
1772224197000,1772224654000,457000,2026-02-27 20:29:57,2026-02-27 20:37:34
1772224657000,1772225011000,354000,2026-02-27 20:37:37,2026-02-27 20:43:31
1772225015000,1772225419000,404000,2026-02-27 20:43:35,2026-02-27 20:50:19
1772225721000,1772226451000,730000,2026-02-27 20:55:21,2026-02-27 21:07:31
