start_ms,end_ms,duration_ms,start_time,end_time
1762153572000,1762153575000,3000,2025-11-03 07:06:12,2025-11-03 07:06:15
1762153581000,1762153593000,12000,2025-11-03 07:06:21,2025-11-03 07:06:33
1762153594000,1762153595000,1000,2025-11-03 07:06:34,2025-11-03 07:06:35
1762153596000,1762153596000,0,2025-11-03 07:06:36,2025-11-03 07:06:36
1762153597000,1762153597000,0,2025-11-03 07:06:37,2025-11-03 07:06:37
1762153598000,1762157510000,3912000,2025-11-03 07:06:38,2025-11-03 08:11:50
1762157514000,1762158335000,821000,2025-11-03 08:11:54,2025-11-03 08:25:35
1762158337000,1762158340000,3000,2025-11-03 08:25:37,2025-11-03 08:25:40
1762158342000,1762158404000,62000,2025-11-03 08:25:42,2025-11-03 08:26:44
1762158405000,1762158406000,1000,2025-11-03 08:26:45,2025-11-03 08:26:46
1762158407000,1762158440000,33000,2025-11-03 08:26:47,2025-11-03 08:27:20
1762158441000,1762158505000,64000,2025-11-03 08:27:21,2025-11-03 08:28:25
1762158506000,1762158529000,23000,2025-11-03 08:28:26,2025-11-03 08:28:49
1762158530000,1762158531000,1000,2025-11-03 08:28:50,2025-11-03 08:28:51
1762158532000,1762158549000,17000,2025-11-03 08:28:52,2025-11-03 08:29:09
1762158550000,1762158595000,45000,2025-11-03 08:29:10,2025-11-03 08:29:55
1762158596000,1762158606000,10000,2025-11-03 08:29:56,2025-11-03 08:30:06
1762158607000,1762158641000,34000,2025-11-03 08:30:07,2025-11-03 08:30:41
1762158642000,1762158650000,8000,2025-11-03 08:30:42,2025-11-03 08:30:50
1762158651000,1762158685000,34000,2025-11-03 08:30:51,2025-11-03 08:31:25
1762158686000,1762158694000,8000,2025-11-03 08:31:26,2025-11-03 08:31:34
1762158695000,1762158695000,0,2025-11-03 08:31:35,2025-11-03 08:31:35
1762158696000,1762158698000,2000,2025-11-03 08:31:36,2025-11-03 08:31:38
1762158699000,1762158729000,30000,2025-11-03 08:31:39,2025-11-03 08:32:09
1762158730000,1762158745000,15000,2025-11-03 08:32:10,2025-11-03 08:32:25
1762158746000,1762158747000,1000,2025-11-03 08:32:26,2025-11-03 08:32:27
1762158748000,1762158749000,1000,2025-11-03 08:32:28,2025-11-03 08:32:29
1762158750000,1762158752000,2000,2025-11-03 08:32:30,2025-11-03 08:32:32
1762158753000,1762158754000,1000,2025-11-03 08:32:33,2025-11-03 08:32:34
1762158755000,1762158774000,19000,2025-11-03 08:32:35,2025-11-03 08:32:54
1762158775000,1762158779000,4000,2025-11-03 08:32:55,2025-11-03 08:32:59
1762158780000,1762158785000,5000,2025-11-03 08:33:00,2025-11-03 08:33:05
1762158786000,1762158789000,3000,2025-11-03 08:33:06,2025-11-03 08:33:09
1762158790000,1762158790000,0,2025-11-03 08:33:10,2025-11-03 08:33:10
1762158791000,1762158795000,4000,2025-11-03 08:33:11,2025-11-03 08:33:15
1762158826000,1762158829000,3000,2025-11-03 08:33:46,2025-11-03 08:33:49
1762158831000,1762158834000,3000,2025-11-03 08:33:51,2025-11-03 08:33:54
1762158835000,1762158863000,28000,2025-11-03 08:33:55,2025-11-03 08:34:23
