task;hash;inputs;inputSize;outputs;outputSize;usedBy
NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);dd1f52a1c2c837f455622156b44aa666;1;3147288982;3;1094;30
NFCORE_RNASEQ:PREPARE_GENOME:GTF_FILTER (genome.fa);64be0b18ea7621e82a9ba90fd982fcaa;2;4063383142;2;838278323;45
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TREATMENT_mIFNa11_10000_REP1);7c16faa82fde47edc9a73367ec262f52;2;2955089346;2;1540;0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TREATMENT_mIFNa11_10000_REP2);099f81285ca71e077bd561ca5465d170;2;2653863189;2;1540;0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TREATMENT_mIFNa11_10000_REP3);84aa60e70aad572094579a6eebff84ba;2;2495514534;2;1540;0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TREATMENT_mIFNa11_100000_REP1);47abcd3fe2b66c394499e7ad502c2807;2;2565593786;2;1540;0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TREATMENT_mIFNa11_100000_REP2);841fb2f93baf4f8d49d21fcad29503c0;2;1717281057;2;1540;0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TREATMENT_mIFNa11_100000_REP3);d91140d6d0a337f18e90cd3236de4ec9;2;2160453884;2;1540;0
NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa);15ecae739213d8854866d75a2df68f6d;2;3985567244;3;4709423999;6
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP2);0182cefe4480c80c7c4a564479ed3ad8;2;2653863189;5;1903566;1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_10000_REP2);bb0cb91aad1f919fe6b07ea8d6e7af42;2;2653863189;9;2468624845;4
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP1);8862cef5e760428b841d8c28c6f189b6;2;2955089346;5;1902816;1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_10000_REP1);5f4f722cd275ee9440548a88d8c1f224;2;2955089346;9;2751533060;4
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_10000_REP3);4591668c321bc05613822929b1e41543;2;2495514534;9;2323740052;3
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3);dac65ed01e24b3b41c956077622d926b;2;2495514534;5;1906696;1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1);48fc0645c0e3b50c4ac67e75dfee21c9;2;2565593786;5;1910953;1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_100000_REP1);ac01eaa57a9b2b8edf9e701a426df397;2;2565593786;9;2387293339;4
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_100000_REP2);f7fe29d9e27c405c32ea52f9c6e055c1;2;1717281057;9;1599950634;3
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2);e4af50e275a6c8687d293c39b125233a;2;1717281057;5;1902526;1
NFCORE_RNASEQ:PREPARE_GENOME:SALMON_INDEX (genome.transcripts.fa);155d63140c387c0f8b4e3f66371f5520;2;3437932337;2;17677490166;6
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3);ef43dfb4b8309970f4a316b7df6ade0c;2;2160453884;5;1904903;1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_100000_REP3);94b8dc139fd5351be57a4afdac0f32dc;2;2160453884;9;2013001646;3
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (TREATMENT_mIFNa11_10000_REP2);10d82e5f292028fece05ee4b14c407b1;2;2466682078;2;1555;0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (TREATMENT_mIFNa11_10000_REP1);552c170070e65ef0f868cd8e12307e3e;2;2749589170;2;1555;0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (TREATMENT_mIFNa11_10000_REP3);8491152664fcfd941cd7d0ef66184734;2;2321798226;2;1555;0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (TREATMENT_mIFNa11_100000_REP1);cdbb4a32c3e1ba826375406f245a617c;2;2385336770;2;1555;0
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_mIFNa11_10000_REP2);802d4c93c6eebc87cb69727b100275ab;4;36403821427;7;7601550257;3
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (TREATMENT_mIFNa11_100000_REP2);a983550e6725690fa699a3edc4528e10;2;1598003785;2;1555;0
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_mIFNa11_10000_REP1);bae06ac56a0bd9a23a0139023bc1b11c;4;36686728519;7;8518110816;1
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_mIFNa11_10000_REP3);9d7e9168d118eb49cc58467f4690bd5f;4;36258937575;7;7207235021;1
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_mIFNa11_100000_REP1);aa90402aa54b6443cf905ea46544f9de;4;36322476119;7;7404516182;1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (TREATMENT_mIFNa11_100000_REP3);e2610d132f9970618c45107304670c1b;2;2011059688;2;1555;0
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_mIFNa11_100000_REP2);73b06dc1d9aa8645923eaeedc7092bf4;4;35535143134;7;4964551192;1
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (TREATMENT_mIFNa11_10000_REP2);583aec0898444180419c50236984d0b1;2;6684219414;2;1826246344;4
NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (TREATMENT_mIFNa11_10000_REP2);0dcfbaaaf821c3d914dfab646b49c066;4;5186274035;3;11657154;2
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (TREATMENT_mIFNa11_10000_REP3);23dbbd659d0b851d7661af1050f8ce4a;2;6491800692;2;1726325340;4
NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (TREATMENT_mIFNa11_10000_REP3);1073fae6d32ed98b32acd23f927673d3;4;4984572397;3;11648510;2
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_mIFNa11_100000_REP3);d2e7e7c11b1d46612ae6915d3929e0d0;4;35948199037;7;6206151826;2
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (TREATMENT_mIFNa11_10000_REP1);2344a8454b6f0ebd4ff31e4061191859;2;7105294958;2;2020124462;5
NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (TREATMENT_mIFNa11_10000_REP1);4d05b12f83541f29540b8f4243740918;4;5681627084;3;11663299;2
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (TREATMENT_mIFNa11_10000_REP2);eee01100289afa5f24a6da1bce44ce3d;1;1826246251;2;2448414;3
NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (TREATMENT_mIFNa11_10000_REP2);a0305c5012d2f95767a8b03336a37ad7;5;20982451116;4;11606791;3
NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (TREATMENT_mIFNa11_10000_REP1);a53b822caf5db43ff76a8241da36dfbe;5;21265358208;4;11616188;3
NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (TREATMENT_mIFNa11_10000_REP3);8878dfbdefb1d80d2d74a44cade92fa9;5;20837567264;4;11598574;3
NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (TREATMENT_mIFNa11_100000_REP1);7ae0627fbf69b66eda255db6f1d053f6;5;20901105808;4;11599535;2
NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (TREATMENT_mIFNa11_100000_REP2);76675e99327832ae7124eb2dbb2f1482;5;20113772823;4;11555581;3
NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (TREATMENT_mIFNa11_100000_REP3);a4e25d59bf85e52e776347ade7df6c79;5;20526828726;4;11572953;3
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (TREATMENT_mIFNa11_10000_REP3);718b785f8c585ca39afa8ffe8ad3cd6a;1;1726325247;2;2399374;3
