test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,42.57,7.09,36.40
CPUStress,32,10,51.01,5.83,35.00
CPUStress,32,20,58.94,6.06,33.20
CPUStress,32,30,66.34,6.24,34.10
CPUStress,32,40,73.91,6.52,34.80
CPUStress,32,50,79.61,6.61,36.20
CPUStress,32,60,83.60,6.62,36.90
CPUStress,32,70,90.20,6.83,38.30
CPUStress,32,80,94.82,6.98,39.10
CPUStress,32,90,97.94,7.00,40.00
CPUStress,32,100,134.96,12.02,47.10
ipsec,32,100,134.91,11.45,50.20
VMStress,32,100,134.66,35.68,46.50
maximize,32,100,134.91,19.24,51.30
