test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,77.55,11.53,40.60
CPUStress,32,10,95.21,11.68,42.80
CPUStress,32,20,108.00,11.84,44.80
CPUStress,32,30,121.33,12.33,46.00
CPUStress,32,40,126.66,12.18,47.30
CPUStress,32,50,134.61,12.39,49.40
CPUStress,32,60,141.53,12.59,50.30
CPUStress,32,70,141.36,12.61,51.20
CPUStress,32,80,140.36,12.53,52.10
CPUStress,32,90,137.96,12.37,52.50
CPUStress,32,100,135.12,12.17,53.70
ipsec,32,100,134.87,11.61,55.00
VMStress,32,100,134.90,35.78,49.50
maximize,32,100,134.93,19.31,53.10
