test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,45.48,7.73,38.60
CPUStress,32,10,59.73,7.67,37.00
CPUStress,32,20,98.45,11.88,42.30
CPUStress,32,30,114.30,12.07,45.50
CPUStress,32,40,124.01,12.15,46.60
CPUStress,32,50,134.99,12.57,47.60
CPUStress,32,60,142.86,12.73,50.10
CPUStress,32,70,141.65,12.62,51.50
CPUStress,32,80,142.34,12.77,52.50
CPUStress,32,90,137.74,12.35,52.90
CPUStress,32,100,135.09,12.16,53.60
ipsec,32,100,134.78,11.62,55.20
VMStress,32,100,134.91,35.84,50.20
maximize,32,100,135.03,19.98,53.70
