test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,42.74,7.28,36.10
CPUStress,32,10,51.09,5.79,34.90
CPUStress,32,20,59.17,6.01,34.10
CPUStress,32,30,66.44,6.24,34.50
CPUStress,32,40,74.02,6.51,34.60
CPUStress,32,50,79.16,6.59,35.50
CPUStress,32,60,85.36,6.78,36.90
CPUStress,32,70,89.79,6.83,37.50
CPUStress,32,80,94.33,6.93,39.90
CPUStress,32,90,97.25,6.98,40.50
CPUStress,32,100,134.89,12.02,47.60
ipsec,32,100,134.83,11.40,50.90
VMStress,32,100,135.04,35.76,46.90
maximize,32,100,134.97,19.56,51.70
