test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,77.88,11.64,41.00
CPUStress,32,10,94.01,11.68,44.70
CPUStress,32,20,109.21,12.10,45.70
CPUStress,32,30,118.50,12.10,46.20
CPUStress,32,40,127.29,12.26,48.20
CPUStress,32,50,134.36,12.41,49.50
CPUStress,32,60,142.27,12.66,51.80
CPUStress,32,70,140.34,12.57,52.30
CPUStress,32,80,137.66,12.41,53.30
CPUStress,32,90,137.58,12.45,53.40
CPUStress,32,100,135.03,12.17,53.70
ipsec,32,100,134.93,11.69,55.00
VMStress,32,100,134.90,35.89,49.70
maximize,32,100,134.73,19.65,54.30
