test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,40.26,5.64,25.50
CPUStress,32,10,51.03,5.79,26.60
CPUStress,32,20,59.10,5.99,28.90
CPUStress,32,30,66.92,6.21,31.00
CPUStress,32,40,73.96,6.41,31.90
CPUStress,32,50,79.29,6.49,33.80
CPUStress,32,60,82.16,6.40,34.90
CPUStress,32,70,90.59,6.76,37.40
CPUStress,32,80,95.20,6.89,38.10
CPUStress,32,90,97.42,6.83,39.50
CPUStress,32,100,134.91,11.92,46.80
ipsec,32,100,134.80,11.37,49.80
VMStress,32,100,134.92,35.80,46.20
maximize,32,100,134.95,19.44,51.50
