test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,71.64,10.32,26.70
CPUStress,32,10,94.43,11.37,34.90
CPUStress,32,20,107.53,11.58,38.70
CPUStress,32,30,118.45,11.77,41.70
CPUStress,32,40,128.62,12.11,43.90
CPUStress,32,50,133.74,12.13,46.40
CPUStress,32,60,138.73,12.06,49.10
CPUStress,32,70,140.80,12.32,49.90
CPUStress,32,80,139.05,12.16,51.10
CPUStress,32,90,139.44,12.32,52.30
CPUStress,32,100,134.93,11.99,53.10
ipsec,32,100,134.87,11.47,54.20
VMStress,32,100,134.87,35.72,49.60
maximize,32,100,134.92,19.92,53.20
