test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,43.86,7.28,38.10
CPUStress,32,10,56.30,7.27,36.90
CPUStress,32,20,96.18,11.61,40.20
CPUStress,32,30,113.35,11.92,43.80
CPUStress,32,40,123.95,12.14,46.30
CPUStress,32,50,134.07,12.50,47.50
CPUStress,32,60,141.20,12.57,49.70
CPUStress,32,70,143.04,12.74,51.00
CPUStress,32,80,140.10,12.49,52.10
CPUStress,32,90,139.56,12.53,52.70
CPUStress,32,100,134.91,12.10,53.60
ipsec,32,100,135.00,11.69,54.80
VMStress,32,100,134.93,35.77,49.90
maximize,32,100,135.03,19.59,54.10
