test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,40.45,5.60,28.20
CPUStress,32,10,45.28,5.62,27.70
CPUStress,32,20,47.67,5.57,27.50
CPUStress,32,30,50.18,5.79,27.80
CPUStress,32,40,53.27,5.93,28.20
CPUStress,32,50,54.62,6.01,28.40
CPUStress,32,60,56.20,6.12,28.60
CPUStress,32,70,58.68,6.30,28.70
CPUStress,32,80,61.19,6.60,29.10
CPUStress,32,90,60.14,6.43,29.40
CPUStress,32,100,58.52,6.25,29.80
ipsec,32,100,59.24,5.51,29.50
VMStress,32,100,85.00,28.40,31.30
maximize,32,100,62.22,14.16,30.70
