test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,77.76,13.80,43.70
CPUStress,32,10,93.83,13.88,44.80
CPUStress,32,20,107.50,14.15,47.20
CPUStress,32,30,116.65,14.20,48.80
CPUStress,32,40,126.80,14.53,50.20
CPUStress,32,50,136.62,14.98,51.60
CPUStress,32,60,143.86,15.16,53.80
CPUStress,32,70,142.93,15.03,54.60
CPUStress,32,80,139.83,14.78,55.30
CPUStress,32,90,137.71,14.59,56.20
CPUStress,32,100,134.84,14.29,57.00
ipsec,32,100,134.91,13.82,57.70
VMStress,32,100,134.85,36.94,52.50
maximize,32,100,134.67,21.23,56.70
