test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,43.35,8.10,28.20
CPUStress,32,10,61.57,9.96,30.20
CPUStress,32,20,95.53,13.48,35.70
CPUStress,32,30,115.05,14.30,41.60
CPUStress,32,40,124.29,14.27,44.70
CPUStress,32,50,136.18,14.79,48.10
CPUStress,32,60,143.50,14.94,50.40
CPUStress,32,70,139.74,14.57,52.20
CPUStress,32,80,138.93,14.51,54.40
CPUStress,32,90,139.03,14.59,54.50
CPUStress,32,100,134.99,14.16,56.60
ipsec,32,100,134.83,13.67,57.70
VMStress,32,100,134.72,36.77,52.00
maximize,32,100,134.90,21.09,56.60
