test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,76.63,13.29,29.70
CPUStress,32,10,94.76,13.79,36.60
CPUStress,32,20,106.05,13.81,40.40
CPUStress,32,30,118.22,14.18,43.80
CPUStress,32,40,128.59,14.52,46.70
CPUStress,32,50,134.60,14.56,48.90
CPUStress,32,60,143.08,14.86,51.10
CPUStress,32,70,141.69,14.77,53.00
CPUStress,32,80,139.20,14.56,54.00
CPUStress,32,90,140.91,14.80,54.40
CPUStress,32,100,134.88,14.17,55.60
ipsec,32,100,133.89,13.64,56.40
VMStress,32,100,134.88,36.92,50.70
maximize,32,100,134.95,21.33,55.20
