test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,47.37,10.19,41.90
CPUStress,32,10,54.55,8.46,39.00
CPUStress,32,20,91.62,13.18,41.80
CPUStress,32,30,113.00,14.08,45.70
CPUStress,32,40,125.11,14.50,48.00
CPUStress,32,50,132.69,14.62,50.30
CPUStress,32,60,142.12,14.96,52.20
CPUStress,32,70,142.08,14.95,53.20
CPUStress,32,80,136.12,14.38,54.70
CPUStress,32,90,138.35,14.62,55.30
CPUStress,32,100,134.94,14.27,56.00
ipsec,32,100,134.84,13.80,57.90
VMStress,32,100,134.94,36.99,52.30
maximize,32,100,134.95,21.52,56.50
