test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,42.19,8.31,28.90
CPUStress,32,10,53.62,8.16,29.90
CPUStress,32,20,61.45,8.48,30.60
CPUStress,32,30,68.71,8.62,32.70
CPUStress,32,40,74.78,8.70,33.90
CPUStress,32,50,82.29,9.13,35.70
CPUStress,32,60,87.04,9.15,37.70
CPUStress,32,70,92.52,9.31,38.60
CPUStress,32,80,94.74,9.22,40.70
CPUStress,32,90,101.72,9.57,41.90
CPUStress,32,100,134.86,14.16,49.80
ipsec,32,100,134.95,13.72,53.30
VMStress,32,100,134.81,36.88,48.90
maximize,32,100,134.97,21.41,53.60
