test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,44.35,9.10,39.40
CPUStress,32,10,53.48,8.37,37.30
CPUStress,32,20,62.03,8.66,36.70
CPUStress,32,30,67.76,8.54,37.10
CPUStress,32,40,76.01,8.99,37.30
CPUStress,32,50,81.88,9.10,38.40
CPUStress,32,60,86.53,9.19,39.20
CPUStress,32,70,92.37,9.37,40.00
CPUStress,32,80,96.26,9.45,41.40
CPUStress,32,90,98.94,9.36,43.10
CPUStress,32,100,134.88,14.20,50.70
ipsec,32,100,134.91,13.71,53.60
VMStress,32,100,134.88,36.84,49.40
maximize,32,100,134.92,21.68,54.00
