test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,42.78,8.21,29.00
CPUStress,32,10,47.81,8.11,29.00
CPUStress,32,20,50.93,8.19,29.50
CPUStress,32,30,52.92,8.23,29.50
CPUStress,32,40,56.44,8.55,29.70
CPUStress,32,50,58.17,8.68,30.10
CPUStress,32,60,59.52,8.78,30.10
CPUStress,32,70,62.45,9.17,31.20
CPUStress,32,80,61.83,8.96,30.90
CPUStress,32,90,62.30,8.97,31.30
CPUStress,32,100,61.05,8.68,31.80
ipsec,32,100,60.60,7.98,31.80
VMStress,32,100,89.27,30.65,33.90
maximize,32,100,63.43,16.15,33.00
