test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,43.06,8.09,32.00
CPUStress,32,10,47.62,8.13,31.00
CPUStress,32,20,50.61,8.19,31.00
CPUStress,32,30,53.58,8.37,31.00
CPUStress,32,40,55.25,8.48,31.10
CPUStress,32,50,57.59,8.68,31.00
CPUStress,32,60,59.56,8.90,31.70
CPUStress,32,70,62.39,9.24,31.50
CPUStress,32,80,63.09,9.19,32.20
CPUStress,32,90,64.33,9.35,32.20
CPUStress,32,100,61.17,8.83,32.10
ipsec,32,100,61.30,8.11,32.50
VMStress,32,100,89.66,31.03,34.00
maximize,32,100,64.10,16.01,33.50
