task_id,hash,native_id,process,name,status,exit,cpus,memory,submit,start,complete,duration,realtime,%cpu,peak_rss,peak_vmem,hostname,cpu_model
1,60/dfdbcf,nf-60dfdbcfdba8c4582d60074d41c28a46-0311c,NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv),COMPLETED,0,1,6442450944,1780908300886,1780908301000,1780908307000,6114,0,20.2,2359296,11579392,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
2,5f/34ee0c,nf-5f34ee0c875fe58ffaf3a13112111081-ad487,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,16,25769803776,1780908302907,1780908303000,1780908333000,30093,24000,27.0,991690752,1023074304,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
10,af/c9f548,nf-afc9f548a3b75280a1ddd99c52335fa7-07bf3,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:TSS_EXTRACT,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:TSS_EXTRACT,COMPLETED,0,1,6442450944,1780908336866,1780908337000,1780908342000,5134,79,93.2,2359296,4087808,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
3,44/a0c9d0,nf-44a0c9d09af6374d6b64a16b615ddf24-01580,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,1,6442450944,1780908342997,1780908343000,1780908391000,48003,43000,28.7,4718592,12554240,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
15,c5/d790f5,nf-c5d790f5aeb493fc668a1edf206861ad-a6492,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES (genome.fa.fai),COMPLETED,0,1,6442450944,1780908400807,1780908401000,1780908409000,8193,0,63.1,2359296,11579392,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
4,33/1469e7,nf-331469e741aebcba043af249b02228d3-0109c,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_FAST_REP1_T1),COMPLETED,0,32,45097156608,1780908367203,1780908367000,1780908409000,41797,33000,173.3,4755750912,11835764736,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
16,05/8e0637,nf-058e0637be2939724819189432e91225-7e9be,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,1,6442450944,1780908400879,1780908401000,1780908409000,8121,0,47.4,2359296,11579392,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
5,2b/a2a619,nf-2ba2a61929f21c888befad254891e9eb-d3699,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP1_T1),COMPLETED,0,48,90194313216,1780908367220,1780908367000,1780908465000,97780,92000,622.4,1243549696,3543171072,ip-172-31-1-173,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
7,8d/61ef75,nf-8d61ef756799eb0ef78d1f8507994b82-1b332,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_FAST_REP2_T1),COMPLETED,0,32,45097156608,1780908374417,1780908375000,1780908461000,86583,46000,203.6,5197434880,11972087808,ip-172-31-1-173,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
6,5c/493f92,nf-5c493f92b74f989dc4bbf1fe35634cd2-a06f4,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1),COMPLETED,0,48,90194313216,1780908374396,1780908375000,1780908578000,203604,198000,508.8,2004602880,3540021248,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
9,d0/0de64f,nf-d00de64fb95a4b29e93889f21892d37a-0726d,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_OMNI_REP1_T1),COMPLETED,0,32,45097156608,1780908404239,1780908414000,1780908732000,327761,287000,112.1,-,-,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
11,2f/623d30,nf-2f623d30f899b82a62822995d03b4bcf-27e97,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_OMNI_REP2_T1),COMPLETED,0,32,45097156608,1780908470346,1780908470000,1780908731000,260654,142000,199.9,5404753920,12263129088,ip-172-31-1-173,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
14,68/af9431,nf-68af94318bd4acbf59aa255719bcaa15-dbab9,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_STD_REP1_T1),COMPLETED,0,32,45097156608,1780908484471,1780908733000,1780908869000,384529,130000,214.4,5210943488,12108410880,ip-172-31-1-173,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
17,f6/2ec158,nf-f62ec158fa6500b2406b3ddcfdeeb469-01388,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_STD_REP2_T1),COMPLETED,0,32,45097156608,1780908507127,1780908738000,1780908882000,374873,133000,206.5,5436928000,12148240384,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
12,6c/8fb731,nf-6c8fb731dcfadbc9abfc6b61333872a1-1d13f,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_OMNI_REP2_T1),COMPLETED,0,48,90194313216,1780908470364,1780908471000,1780909031000,560636,555000,580.2,4847104000,6210207744,ip-172-31-1-173,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
20,d0/2f137e,nf-d02f137ec90bbd763e1a5e0507199cd9-59425,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM (GM12878_FAST_REP2_T1),COMPLETED,0,48,90194313216,1780908599323,1780909034000,1780909150000,550677,109000,4123.7,17242267648,23813582848,ip-172-31-1-173,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
8,ec/75d044,nf-ec75d044be9feb1fe386b077febf3060-ce366,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_OMNI_REP1_T1),COMPLETED,0,48,90194313216,1780908404280,1780908580000,1780909203000,798720,618000,628.9,4854763520,6242697216,ip-172-31-12-170,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz
