task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,hu-worker-c44,72/7fed56,nf-727fed56bcb7301afc1b200ccd669670-ec2e7,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1761297142739,1761297146000,1761297147000,4261,0,-,54.2,0.0,3010560,11575296,3010560,11579392,689685,9273,247,18,24576,20480,3,0,/input/data/work/72/7fed56bcb7301afc1b200ccd669670,true,-
1,hu-worker-c45,e5/7c69ec,nf-e57c69ec4a0a05437860f70f232faf31-364ee,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1761297142682,1761297146000,1761297159000,16318,13000,-,98.2,0.0,4841472,12410880,4841472,12414976,3147402561,5942,48261,20,4198400,16384,26,1802,/input/data/work/e5/7c69ec4a0a05437860f70f232faf31,true,-
3,hu-worker-c40,ab/40a405,nf-ab40a4056a99e5392e9cdfed734e8f10-5eba0,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1761297142779,1761297144000,1761297167000,24221,22000,-,100.0,1.1,2866831360,2887778304,2866831360,2887782400,916296003,25693118,112010,3154,0,25702400,16,1038,/input/data/work/ab/40a4056a99e5392e9cdfed734e8f10,true,-
214,hu-worker-c40,59/9995a9,nf-599995a9a48d06a44db93341049898cf-6f333,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1761297161425,1761297162000,1761297163000,1575,0,-,38.8,0.0,2920448,11575296,2920448,11579392,101819,26538,195,23,192512,20480,2,2,/input/data/work/59/9995a9a48d06a44db93341049898cf,true,-
64,hu-worker-c45,25/1bd123,nf-251bd12351edcef7dc25d6c002e763c8-5a057,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1761297152870,1761297153000,1761297214000,61130,60000,-,105.0,0.1,401256448,3608817664,401608704,3675930624,589141027,1729987,1116928,5483,0,2195456,11,7,/input/data/work/25/1bd12351edcef7dc25d6c002e763c8,true,-
69,hu-worker-c44,13/2e88a1,nf-132e88a1730ad22ca4c23d8b3d0bbb9b-5f8bf,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1761297152941,1761297157000,1761297215000,62059,57000,-,106.4,0.2,466710528,3825221632,466976768,3826339840,569621564,1717381,1078801,5437,0,2146304,11,3,/input/data/work/13/2e88a1730ad22ca4c23d8b3d0bbb9b,true,-
72,hu-worker-c45,72/87fa16,nf-7287fa16a078f7bc59393ae72ba198f3-2ea1a,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1761297153015,1761297153000,1761297214000,60985,60000,-,105.7,0.1,401784832,3608817664,402587648,3675930624,591768213,1719336,1122060,5460,0,2158592,11,8,/input/data/work/72/87fa16a078f7bc59393ae72ba198f3,true,-
55,hu-worker-c45,1b/9982df,nf-1b9982dffbd14125ac5f82cc5a15e03d-0290c,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1761297152764,1761297153000,1761297217000,64236,63000,-,105.1,0.1,402702336,3676979200,402702336,3678285824,610680860,1723928,1158996,5469,4194304,2306048,11,12,/input/data/work/1b/9982dffbd14125ac5f82cc5a15e03d,true,-
59,hu-worker-c44,76/40c73f,nf-7640c73fab00e0d3c453c95abfc3bf0e-bdc21,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1761297152797,1761297157000,1761297218000,65203,60000,-,107.5,0.1,401932288,3676979200,402554880,3678343168,633527057,1726378,1203621,5470,0,2215936,17,10,/input/data/work/76/40c73fab00e0d3c453c95abfc3bf0e,true,-
61,hu-worker-c42,25/156d25,nf-25156d259c7f718053c0ca9dbd0f901f-83250,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1761297152825,1761297160000,1761297219000,66175,57000,-,106.4,0.1,400556032,3676979200,400769024,3678285824,595297531,1730279,1128950,5486,0,2191360,6,3,/input/data/work/25/156d259c7f718053c0ca9dbd0f901f,true,-
66,hu-worker-c42,c4/e4e5c7,nf-c4e4e5c7e7ee3a06b969762db1ce98a6-54acf,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1761297152979,1761297160000,1761297220000,67021,59000,-,107.0,0.1,401543168,3608817664,403111936,3675930624,601054339,1719630,1140196,5448,0,2174976,6,2,/input/data/work/c4/e4e5c7e7ee3a06b969762db1ce98a6,true,-
70,hu-worker-c42,1f/506f60,nf-1f506f604025db16ebbdf3f8465636c3-325a6,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1761297153081,1761297160000,1761297216000,62919,55000,-,106.6,0.1,403013632,3608817664,403365888,3675930624,555671494,1718989,1051556,5445,0,2129920,6,4,/input/data/work/1f/506f604025db16ebbdf3f8465636c3,true,-
80,hu-worker-c42,82/24da25,nf-8224da25fa8437b94fd885b27a8ef703-c1cd7,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K18ac_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K18ac_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1761297153587,1761297161000,1761297221000,67413,59000,-,106.4,0.1,403566592,3745140736,404811776,3812253696,599625717,1727113,1137402,5452,0,2195456,6,2,/input/data/work/82/24da25fa8437b94fd885b27a8ef703,true,-
47,hu-worker-c45,00/483500,nf-00483500ced58b5294ceaea071b60512-8dd6c,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1761297152612,1761297153000,1761297221000,68388,67000,-,106.1,0.1,404226048,3676979200,404226048,3678343168,670677539,1758068,1276177,5529,0,2334720,11,5,/input/data/work/00/483500ced58b5294ceaea071b60512,true,-
