test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,52.98,14.46,37.40
CPUStress,32,10,64.08,14.65,37.90
CPUStress,32,20,74.08,14.65,40.10
CPUStress,32,30,83.82,14.70,40.80
CPUStress,32,40,91.99,14.78,42.70
CPUStress,32,50,100.92,15.08,44.50
CPUStress,32,60,107.30,15.11,45.90
CPUStress,32,70,110.14,14.83,47.00
CPUStress,32,80,117.46,15.07,48.60
CPUStress,32,90,119.44,14.85,50.50
CPUStress,32,100,120.60,14.82,51.50
ipsec,32,100,130.75,14.68,52.80
VMStress,32,100,112.38,37.54,50.10
maximize,32,100,119.69,20.84,52.20
