test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,54.03,14.47,46.90
CPUStress,32,10,72.09,14.62,46.30
CPUStress,32,20,85.18,14.70,45.00
CPUStress,32,30,96.29,14.83,46.40
CPUStress,32,40,105.02,14.75,47.00
CPUStress,32,50,113.29,14.71,48.20
CPUStress,32,60,121.93,14.85,50.10
CPUStress,32,70,129.08,15.05,51.10
CPUStress,32,80,134.23,14.98,52.40
CPUStress,32,90,138.69,14.88,54.30
CPUStress,32,100,140.49,14.82,55.50
ipsec,32,100,152.64,14.55,57.50
VMStress,32,100,127.52,38.18,53.70
maximize,32,100,139.05,21.58,57.00
