test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,54.09,14.50,45.90
CPUStress,32,10,70.28,14.72,44.80
CPUStress,32,20,84.83,14.86,44.70
CPUStress,32,30,95.07,14.76,46.10
CPUStress,32,40,106.87,14.96,46.60
CPUStress,32,50,115.59,15.12,48.60
CPUStress,32,60,122.63,14.97,49.50
CPUStress,32,70,126.98,14.90,51.20
CPUStress,32,80,134.01,15.09,52.90
CPUStress,32,90,138.45,14.98,54.20
CPUStress,32,100,140.64,14.79,55.20
ipsec,32,100,152.03,14.49,56.70
VMStress,32,100,128.25,36.89,53.10
maximize,32,100,139.18,22.02,56.20
