test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,53.04,14.49,38.70
CPUStress,32,10,70.87,14.58,40.10
CPUStress,32,20,84.40,14.77,41.10
CPUStress,32,30,94.55,14.89,43.40
CPUStress,32,40,105.20,14.96,46.00
CPUStress,32,50,114.83,15.28,46.90
CPUStress,32,60,123.57,15.22,48.60
CPUStress,32,70,127.15,14.88,50.40
CPUStress,32,80,132.41,14.87,51.70
CPUStress,32,90,138.03,15.00,52.80
CPUStress,32,100,139.84,14.86,54.30
ipsec,32,100,152.03,14.48,56.10
VMStress,32,100,127.33,38.14,52.40
maximize,32,100,138.93,21.82,55.90
