test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,53.63,14.86,44.10
CPUStress,32,10,64.06,14.98,43.30
CPUStress,32,20,75.66,14.99,42.60
CPUStress,32,30,84.91,14.92,44.40
CPUStress,32,40,92.18,15.02,45.40
CPUStress,32,50,99.08,14.97,46.20
CPUStress,32,60,105.74,15.12,47.40
CPUStress,32,70,110.81,15.07,48.30
CPUStress,32,80,115.04,15.06,49.10
CPUStress,32,90,119.38,14.96,50.70
CPUStress,32,100,120.84,14.89,52.10
ipsec,32,100,130.53,14.74,53.00
VMStress,32,100,112.19,37.75,49.90
maximize,32,100,119.76,20.98,53.10
