test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,45.44,10.45,32.80
CPUStress,32,10,53.69,10.54,33.90
CPUStress,32,20,62.17,10.62,35.00
CPUStress,32,30,70.05,10.71,38.60
CPUStress,32,40,76.02,10.75,40.20
CPUStress,32,50,80.51,10.74,42.20
CPUStress,32,60,86.40,11.01,43.40
CPUStress,32,70,90.13,11.02,45.20
CPUStress,32,80,91.78,11.04,46.50
CPUStress,32,90,94.83,10.94,48.20
CPUStress,32,100,96.79,10.84,48.90
ipsec,32,100,104.36,10.44,49.90
VMStress,32,100,91.73,32.28,47.70
maximize,32,100,97.41,16.54,49.50
