test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,45.36,10.39,30.90
CPUStress,32,10,58.49,10.49,33.90
CPUStress,32,20,69.36,10.54,36.00
CPUStress,32,30,78.56,10.73,38.80
CPUStress,32,40,86.86,10.89,41.70
CPUStress,32,50,93.99,10.96,44.10
CPUStress,32,60,99.47,10.90,46.20
CPUStress,32,70,102.97,10.92,48.00
CPUStress,32,80,105.46,10.99,49.60
CPUStress,32,90,109.56,11.09,51.20
CPUStress,32,100,111.61,11.07,52.20
ipsec,32,100,121.01,10.70,53.10
VMStress,32,100,103.79,32.78,50.50
maximize,32,100,111.30,17.09,52.30
