test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,46.12,10.93,35.00
CPUStress,32,10,59.93,11.02,36.20
CPUStress,32,20,70.91,11.27,37.90
CPUStress,32,30,78.36,11.24,39.00
CPUStress,32,40,86.33,11.30,42.60
CPUStress,32,50,92.01,11.36,44.50
CPUStress,32,60,99.09,11.35,46.60
CPUStress,32,70,103.23,11.55,48.70
CPUStress,32,80,106.78,11.55,49.60
CPUStress,32,90,110.67,11.59,50.90
CPUStress,32,100,111.73,11.51,51.40
ipsec,32,100,120.95,11.31,52.40
VMStress,32,100,103.47,33.26,49.80
maximize,32,100,112.19,17.56,51.60
