test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,46.39,11.35,42.50
CPUStress,32,10,60.83,11.38,40.70
CPUStress,32,20,70.43,11.59,40.20
CPUStress,32,30,79.11,11.57,41.50
CPUStress,32,40,86.51,11.52,42.70
CPUStress,32,50,92.25,11.57,44.80
CPUStress,32,60,98.78,11.57,45.90
CPUStress,32,70,103.43,11.75,48.10
CPUStress,32,80,107.37,11.63,48.90
CPUStress,32,90,109.84,11.41,50.10
CPUStress,32,100,111.45,11.45,51.60
ipsec,32,100,121.19,11.26,52.40
VMStress,32,100,103.55,33.24,49.60
maximize,32,100,111.10,17.16,51.50
