test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,47.08,11.26,42.50
CPUStress,32,10,60.39,11.23,40.40
CPUStress,32,20,70.66,11.23,40.80
CPUStress,32,30,79.34,11.40,41.40
CPUStress,32,40,86.53,11.35,43.70
CPUStress,32,50,93.83,11.57,44.90
CPUStress,32,60,98.03,11.42,47.70
CPUStress,32,70,102.96,11.44,48.70
CPUStress,32,80,107.67,11.49,50.20
CPUStress,32,90,110.10,11.40,51.70
CPUStress,32,100,111.55,11.37,52.40
ipsec,32,100,121.22,11.24,53.50
VMStress,32,100,103.88,33.34,51.10
maximize,32,100,111.42,16.94,53.10
