test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,47.42,10.98,44.10
CPUStress,32,10,59.80,11.27,41.80
CPUStress,32,20,70.90,11.23,42.80
CPUStress,32,30,79.88,11.32,42.70
CPUStress,32,40,86.80,11.44,44.70
CPUStress,32,50,92.70,11.41,46.40
CPUStress,32,60,99.10,11.47,48.60
CPUStress,32,70,105.76,11.79,49.50
CPUStress,32,80,107.74,11.59,51.30
CPUStress,32,90,110.07,11.47,52.20
CPUStress,32,100,111.94,11.48,53.50
ipsec,32,100,121.24,11.31,54.30
VMStress,32,100,104.10,33.19,51.70
maximize,32,100,111.95,16.51,53.20
