test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,51.70,11.65,41.30
CPUStress,32,10,66.51,11.78,41.50
CPUStress,32,20,79.53,12.05,40.20
CPUStress,32,30,88.83,12.07,40.50
CPUStress,32,40,97.02,12.01,42.20
CPUStress,32,50,106.73,12.31,45.30
CPUStress,32,60,113.26,12.30,46.30
CPUStress,32,70,117.30,12.21,47.80
CPUStress,32,80,119.14,11.96,49.30
CPUStress,32,90,125.19,12.15,50.50
CPUStress,32,100,126.03,12.07,50.90
ipsec,32,100,136.42,11.46,51.90
VMStress,32,100,115.70,33.81,49.00
maximize,32,100,125.24,18.98,51.70
