test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,50.85,11.86,35.70
CPUStress,32,10,68.06,11.88,36.70
CPUStress,32,20,79.69,12.04,37.00
CPUStress,32,30,90.59,12.23,39.30
CPUStress,32,40,96.66,12.09,40.80
CPUStress,32,50,105.80,12.39,42.30
CPUStress,32,60,110.79,12.26,45.90
CPUStress,32,70,117.72,12.40,47.10
CPUStress,32,80,120.57,12.21,48.20
CPUStress,32,90,123.69,12.16,49.70
CPUStress,32,100,120.88,11.57,50.90
ipsec,32,100,134.33,11.50,52.00
VMStress,32,100,113.83,33.94,49.00
maximize,32,100,124.48,19.12,51.40
