test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,53.91,11.95,41.30
CPUStress,32,10,69.23,11.93,40.70
CPUStress,32,20,79.61,11.90,40.10
CPUStress,32,30,88.56,12.06,41.10
CPUStress,32,40,97.60,12.21,43.10
CPUStress,32,50,103.44,12.03,44.60
CPUStress,32,60,111.77,12.34,46.60
CPUStress,32,70,118.01,12.43,48.30
CPUStress,32,80,120.90,12.22,49.70
CPUStress,32,90,124.56,12.15,50.20
CPUStress,32,100,126.27,12.08,51.20
ipsec,32,100,136.17,11.81,52.30
VMStress,32,100,115.36,34.86,49.60
maximize,32,100,124.48,19.50,51.70
