test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,50.46,11.84,33.30
CPUStress,32,10,60.22,12.13,34.80
CPUStress,32,20,68.25,12.20,35.30
CPUStress,32,30,76.91,12.21,36.70
CPUStress,32,40,82.25,12.06,38.40
CPUStress,32,50,90.45,12.57,39.20
CPUStress,32,60,92.15,12.13,40.40
CPUStress,32,70,98.87,12.50,41.80
CPUStress,32,80,102.40,12.49,43.20
CPUStress,32,90,104.76,12.36,45.10
CPUStress,32,100,102.71,11.86,46.80
ipsec,32,100,114.05,12.15,47.90
VMStress,32,100,98.23,34.05,46.20
maximize,32,100,103.87,17.81,48.40
