run,pkg,dram,total
1,2.039443911291111,0.51165246167,2.5510963729611107
2,2.0373372604780555,0.5641097912005556,2.601447051678611
3,1.3958854681680555,0.30460586129583334,1.7004913294638886
4,1.875715482357222,0.23889634121388886,2.114611823571111
5,2.066687237917222,0.36913336025250004,2.435820598169722
