run,pkg,dram,total,idle_pkg,idle_dram,idle_total,active_pkg,active_dram,active_total
1,4.602202049554444,0.8773177116049999,5.479519761159444,0.0652820009325,1.0571974241663888,1.1224794250988888,4.316087971656945,1.7726491351511109,6.088737106808056
2,4.571710901755,0.9316447937155555,5.503355695470555,0.1871458323672222,6.0055898668225,6.192735699189722,4.384565069387778,6.760312475363889,11.144877544751665
3,4.596396160334722,0.9199301720972222,5.5163263324319445,0.1987703082361111,4.923621328032778,5.122391636268889,4.397625852098611,5.731180340700555,10.128806192799166
