timestamp,energy_1,energy_2
1769679599005,24505246635,15208216426
1769679600005,24528744901,15230872084
1769679601005,24552073376,15253558472
1769679602005,24575549792,15276651836
1769679603005,24599202744,15299350476
1769679604005,24622402411,15322075604
1769679605005,24645688529,15344772444
1769679606005,24669214275,15367772063
1769679607005,24692594948,15390844021
1769679608005,24717351602,15415030972
1769679609005,24740713263,15437676972
1769679610005,24764013450,15460416503
1769679611005,24787303169,15483080843
1769679612005,24810517240,15505748814
1769679613005,24833927772,15528544785
1769679614005,24857208581,15551171133
1769679615005,24880431883,15573755521
1769679616005,24903868263,15596599798
1769679617005,24927105434,15619272500
1769679618005,24952169674,15643271442
1769679619005,24975695206,15666073211
1769679620005,24998981309,15688630256
1769679621005,25023081351,15711177720
1769679622005,25047784389,15733771339
1769679623005,25072515135,15756660918
1769679624005,25096966782,15779454981
1769679625005,25121180739,15802124006
1769679626005,25145027208,15824892451
1769679627005,25169261032,15847463061
1769679628005,25194729197,15871520472
1769679629005,25219035252,15894098116
1769679630005,25242887809,15916689843
1769679631005,25267206513,15939327115
1769679632005,25291524866,15961892172
1769679633005,25315761543,15984573646
1769679634005,25339290996,16007144363
1769679635005,25362825851,16029702797
1769679636005,25386535211,16052523898
1769679637005,25409987871,16075234134
1769679638005,25434933526,16099130527
1769679639005,25458254540,16121890718
1769679640005,25481676364,16144544896
1769679641005,25505191535,16167235968
1769679642005,25528748499,16189908288
1769679643005,25552649240,16212528258
1769679644005,25576432450,16235188081
1769679645005,25600265110,16257740809
1769679646005,25624562132,16280606677
1769679647005,25648013159,16303230400
1769679648005,25673232452,16327073924
1769679649005,25696674248,16349743910
1769679650005,25720032171,16372281044
1769679651005,25743402086,16394878447
1769679652005,25766722368,16417455221
1769679653005,25794580989,16440060925
1769679654005,25824837542,16462780377
1769679655005,25851053852,16485438934
1769679656005,25877474376,16508490430
1769679657005,25902996021,16531152817
1769679658005,25929971128,16555077377
1769679659005,25956114292,16577782227
1769679660005,25981842941,16600551389
1769679693077,26007897304,17361684619
1769679694005,26806945444,17382688889
1769679695005,26830232112,17405272011
1769679696005,26853844065,17428151153
1769679697005,26877259282,17450777790
1769679698005,26901956994,17474665791
1769679699005,26925527980,17497967153
1769679700005,26948975742,17520547543
1769679701005,26972338898,17543155612
1769679702005,26995710538,17565771508
1769679703005,27019065928,17588491600
1769679704005,27044076430,17611399870
1769679705005,27067971419,17634174663
1769679706005,27091682931,17656969154
1769679707005,27115079075,17679539550
1769679708005,27139740321,17703487774
1769679709005,27163233018,17726385287
1769679710005,27186455282,17748916669
1769679711005,27209744559,17771533145
1769679712005,27233546643,17794208592
1769679713005,27257262030,17816810726
