test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,42.08,6.39,25.90
CPUStress,32,10,46.64,6.44,26.60
CPUStress,32,20,50.31,6.55,27.20
CPUStress,32,30,51.38,6.50,27.80
CPUStress,32,40,54.08,6.77,28.20
CPUStress,32,50,56.46,7.06,28.40
CPUStress,32,60,59.63,7.23,28.80
CPUStress,32,70,60.76,7.34,29.30
CPUStress,32,80,60.70,7.28,29.60
CPUStress,32,90,59.57,7.17,29.80
CPUStress,32,100,60.61,7.09,30.00
ipsec,32,100,62.02,6.49,30.00
VMStress,32,100,85.43,28.82,32.20
maximize,32,100,61.65,14.54,31.40
