test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,42.03,6.58,26.10
CPUStress,32,10,52.53,6.66,28.60
CPUStress,32,20,59.85,6.83,30.60
CPUStress,32,30,68.14,7.12,31.20
CPUStress,32,40,74.53,7.35,33.20
CPUStress,32,50,78.99,7.24,34.80
CPUStress,32,60,85.35,7.58,36.40
CPUStress,32,70,90.58,7.69,38.00
CPUStress,32,80,95.56,7.92,38.70
CPUStress,32,90,97.67,7.79,40.20
CPUStress,32,100,134.90,12.72,47.80
ipsec,32,100,134.91,12.04,51.90
VMStress,32,100,134.80,35.95,48.10
maximize,32,100,135.04,20.14,52.50
