test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,45.76,6.37,29.10
CPUStress,32,10,48.71,6.54,28.70
CPUStress,32,20,50.55,6.59,28.40
CPUStress,32,30,51.50,6.56,28.60
CPUStress,32,40,55.33,6.96,28.90
CPUStress,32,50,56.72,6.98,29.20
CPUStress,32,60,59.28,7.19,29.70
CPUStress,32,70,60.91,7.36,30.00
CPUStress,32,80,62.09,7.43,30.20
CPUStress,32,90,61.54,7.40,30.20
CPUStress,32,100,60.83,7.24,30.20
ipsec,32,100,60.54,6.40,30.50
VMStress,32,100,86.94,29.25,32.00
maximize,32,100,62.62,14.62,31.30
