test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,75.89,11.62,28.40
CPUStress,32,10,94.25,12.08,34.80
CPUStress,32,20,106.04,12.34,39.30
CPUStress,32,30,116.34,12.55,42.70
CPUStress,32,40,126.16,12.86,45.30
CPUStress,32,50,133.69,13.15,48.30
CPUStress,32,60,141.56,13.46,50.20
CPUStress,32,70,140.80,13.12,52.10
CPUStress,32,80,136.77,12.83,52.70
CPUStress,32,90,141.82,13.40,53.40
CPUStress,32,100,134.81,12.88,54.50
ipsec,32,100,134.91,12.18,56.30
VMStress,32,100,134.60,35.93,51.70
maximize,32,100,134.94,20.14,54.50
