test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,45.17,8.33,38.20
CPUStress,32,10,52.88,6.76,37.50
CPUStress,32,20,59.71,6.92,36.40
CPUStress,32,30,67.91,7.26,36.50
CPUStress,32,40,72.36,7.21,36.50
CPUStress,32,50,79.37,7.54,37.60
CPUStress,32,60,85.39,7.71,38.10
CPUStress,32,70,90.98,7.92,39.30
CPUStress,32,80,92.58,7.73,40.20
CPUStress,32,90,95.46,7.74,41.10
CPUStress,32,100,134.87,12.93,48.60
ipsec,32,100,134.69,12.18,52.80
VMStress,32,100,134.80,36.08,48.90
maximize,32,100,134.89,21.08,52.80
