test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,77.84,12.38,42.40
CPUStress,32,10,94.38,12.64,46.20
CPUStress,32,20,106.43,12.77,46.90
CPUStress,32,30,115.74,12.97,48.90
CPUStress,32,40,123.59,12.95,49.60
CPUStress,32,50,131.60,13.36,50.60
CPUStress,32,60,137.28,13.40,52.50
CPUStress,32,70,143.73,13.83,53.40
CPUStress,32,80,142.08,13.75,54.30
CPUStress,32,90,137.94,13.34,54.80
CPUStress,32,100,134.91,12.97,55.70
ipsec,32,100,134.84,12.49,57.00
VMStress,32,100,134.86,36.19,52.10
maximize,32,100,134.86,20.47,55.30
