test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,41.96,6.40,28.50
CPUStress,32,10,46.84,6.41,28.10
CPUStress,32,20,49.74,6.47,28.10
CPUStress,32,30,52.09,6.56,28.10
CPUStress,32,40,54.91,6.77,28.50
CPUStress,32,50,58.20,7.16,28.80
CPUStress,32,60,59.00,7.13,28.90
CPUStress,32,70,59.59,7.11,29.40
CPUStress,32,80,60.77,7.25,29.60
CPUStress,32,90,61.22,7.31,30.00
CPUStress,32,100,60.69,7.20,30.30
ipsec,32,100,59.98,6.32,30.20
VMStress,32,100,88.75,29.79,32.60
maximize,32,100,63.29,14.64,31.40
