timestamp,energy
1782493403012,117881578288
1782493404012,117928480389
1782493405014,117973673938
1782493406015,118018472286
1782493407012,118062775151
1782493408016,118107466565
1782493409013,118151286277
1782493410015,118194922945
1782493411012,118239808694
1782493412016,118285124984
1782493413012,118329167047
1782493414015,118374653930
1782493415014,118421185671
1782493416013,118466642586
1782493417011,118511649185
1782493418015,118556749228
1782493419013,118601704313
1782493420014,118646158057
1782493421013,118689747117
1782493422016,118734552667
1782493423013,118778558230
1782493424015,118822836559
1782493425013,118867884601
1782493426013,118914223899
1782493427013,118960002590
1782493428013,119005236361
1782493429012,119050374856
1782493430014,119094992052
1782493431013,119139726251
1782493432015,119184543092
1782493433015,119228966745
1782493434013,119273325885
1782493435015,119319570151
1782493436015,119364643278
1782493437012,119409312109
1782493438013,119454104780
1782493439013,119498490225
1782493440014,119543088378
1782493441015,119587477729
1782493442012,119632544203
1782493443015,119677276755
1782493444012,119722597562
1782493445015,119770121305
1782493446013,119815782260
1782493447012,119861123757
1782493448015,119906379989
1782493449013,119951231254
1782493450012,119995815002
1782493451015,120039939217
1782493452014,120085372390
1782493453015,120130087058
1782493454015,120175095488
1782493455014,120220474888
1782493456015,120266048563
1782493457013,120311030137
1782493458015,120355956475
1782493459014,120400947082
1782493460015,120447864565
1782493461011,120491884655
1782493462013,120536624042
1782493463015,120580499845
1782493464015,120625667515
1782493465012,120670649395
1782493466015,120716081224
1782493467015,120760965204
1782493468012,120805505007
1782493469012,120849474315
1782493470015,120893217734
1782493471013,120937683135
1782493472013,120982728674
1782493473013,121027460920
1782493474016,121073157337
1782493475015,121118998833
1782493476014,121164556944
1782493477012,121209608525
1782493478014,121254660961
1782493479012,121299577289
1782493480015,121344682337
1782493481012,121388934787
1782493482012,121433744304
1782493483012,121477877065
1782493484011,121522200743
1782493485012,121567282903
1782493486013,121613449044
1782493487015,121658904738
1782493488014,121704211507
1782493489015,121749368923
1782493490012,121796352690
1782493491011,121841041418
1782493492012,121885298019
1782493493012,121929637871
1782493494012,121974079164
1782493495015,122019630500
1782493496013,122064928601
1782493497014,122109979633
1782493498015,122154175077
1782493499015,122198465918
1782493500015,122242949264
1782493501015,122287607902
1782493502012,122332495665
1782493503015,122377219001
1782493504015,122422600598
1782493505013,122467685139
1782493506015,122513560143
1782493507012,122558381562
1782493508012,122603369728
1782493509015,122648439681
1782493510013,122692686027
1782493511013,122736537844
1782493512015,122781556833
1782493513014,122825645770
1782493514012,122870616968
1782493515015,122915805940
1782493516014,122961271277
1782493517014,123006359236
1782493518014,123051017263
1782493519012,123095619810
1782493520015,123143579832
1782493521012,123189841432
1782493522013,123234738778
1782493523014,123279205095
1782493524012,123323639307
1782493525014,123369291778
1782493526012,123414561987
1782493527012,123460056561
1782493528017,123504718678
1782493529014,123548726011
1782493530015,123592559029
1782493531011,123636852800
1782493532013,123681074366
1782493533012,123725277256
1782493534013,123771326211
1782493535016,123818561685
1782493536015,123864572920
1782493537014,123909950184
1782493538011,123954907833
1782493539012,124000398561
1782493540013,124045227609
1782493541012,124089513201
1782493542013,124134025233
1782493543012,124178558688
1782493544015,124223865823
1782493545014,124268922776
1782493546015,124314606741
1782493547015,124359852109
1782493548012,124403659431
1782493549015,124448471022
1782493550014,124495960891
1782493551013,124540268212
1782493552014,124585491546
1782493553015,124629517556
1782493554014,124674383103
1782493555012,124719900931
1782493556012,124765037473
1782493557012,124810276188
1782493558014,124854170179
1782493559015,124898433433
1782493560013,124942356599
1782493561013,124986425273
1782493562015,125031292040
1782493563014,125075730403
1782493564015,125121253541
1782493565012,125167966312
1782493566014,125213549264
1782493567013,125258308976
1782493568015,125302712366
1782493569014,125348370208
1782493570015,125392268289
1782493571012,125436271960
1782493572015,125481091060
1782493573012,125525159001
1782493574015,125569591260
1782493575012,125614233968
1782493576013,125660001124
1782493577015,125705531342
1782493578139,125756328209
1782493579012,125795824080
1782493580014,125841836901
1782493581013,125886121883
1782493582015,125930851566
1782493583013,125975095959
1782493584015,126019779500
1782493585015,126065290431
1782493586015,126110745270
1782493587013,126156756322
1782493588012,126200474533
1782493589012,126244725579
1782493590015,126288972231
1782493591013,126332810986
1782493592015,126378026202
1782493593037,126423629540
1782493594015,126467849581
1782493595012,126515875825
1782493596013,126561482337
1782493597013,126606138350
1782493598012,126650222222
1782493599011,126695505797
1782493600016,126740744207
1782493601015,126784903151
1782493602014,126829465232
1782493603015,126873816986
1782493604014,126918028909
1782493605015,126963772017
1782493606012,127009805713
1782493607013,127054686274
1782493608015,127099874025
1782493609013,127145567939
1782493610014,127191549755
1782493611012,127235878804
1782493612015,127280608853
1782493613013,127325045812
1782493614015,127369748517
1782493615012,127414640980
1782493616012,127460351251
1782493617015,127506323729
1782493618015,127550546455
1782493619013,127594876420
1782493620013,127638882289
1782493621015,127683819612
1782493622015,127729111061
1782493623038,127774404464
1782493624015,127818244378
1782493625013,127865998773
1782493626014,127911787413
1782493627013,127957497928
1782493628013,128001875927
1782493629014,128046951495
1782493630013,128092517968
1782493631015,128137137971
1782493632015,128182262611
1782493633016,128226701951
1782493634015,128271212945
1782493635015,128316907836
1782493636016,128362214421
1782493637015,128407149792
1782493638037,128452729265
1782493639015,128497239100
1782493640013,128541953890
1782493641012,128586806986
1782493642014,128631832383
1782493643014,128676747185
1782493644012,128721410279
1782493645012,128767156134
1782493646015,128812734935
1782493647015,128858396928
1782493648015,128902203029
1782493649014,128946719028
1782493650015,128990794843
1782493651013,129034954154
1782493652014,129079767333
1782493653015,129124265205
1782493654015,129168959487
1782493655015,129215441241
1782493656015,129261562888
1782493657013,129306916776
1782493658012,129351145605
1782493659015,129396831646
1782493660015,129442010973
1782493661013,129486045468
1782493662015,129530763065
1782493663013,129574550978
1782493664015,129619167014
1782493665012,129664550382
1782493666013,129710191622
1782493667012,129755131998
1782493668015,129799629382
1782493669015,129844881829
1782493670015,129892304498
1782493671014,129936538943
1782493672015,129981340220
1782493673015,130026182085
1782493674014,130070488063
1782493675014,130116235627
1782493676016,130161352760
1782493677013,130206542830
1782493678012,130250773734
1782493679013,130294614198
1782493680014,130339145029
1782493681014,130383675311
1782493682015,130428565332
1782493683015,130473190768
1782493684015,130518147623
1782493685015,130565237712
1782493686013,130610750962
1782493687012,130656070793
1782493688015,130700819518
1782493689011,130745602302
1782493690012,130790736647
1782493691013,130834610741
1782493692012,130879193268
1782493693013,130923830178
1782493694015,130968313585
1782493695015,131013750297
1782493696015,131059374020
1782493697015,131104846316
1782493698014,131149168346
1782493699014,131194417132
1782493700014,131240990804
1782493701016,131285065642
1782493702015,131329564430
1782493703015,131374273361
1782493704013,131418485955
1782493705011,131464084532
1782493706015,131509581120
1782493707015,131555080271
1782493708015,131599327106
1782493709015,131644230372
1782493710014,131689088229
1782493711015,131733686137
1782493712014,131778682054
1782493713015,131823611261
1782493714014,131868899475
1782493715012,131916715576
1782493716013,131961810309
1782493717015,132006284682
1782493718013,132050584190
1782493719010,132094880281
1782493720015,132140243568
1782493721012,132184416001
1782493722012,132228640863
1782493723012,132273097354
1782493724012,132317179150
1782493725013,132363066850
1782493726014,132409071493
1782493727014,132454168606
1782493728014,132499406589
1782493729014,132544666910
1782493730012,132591748760
1782493731015,132636192982
1782493732012,132680539670
