task_id,status,name,energy_consumption,CO2e,CO2e_market,carbon_intensity,%cpu,memory,realtime,cpus,powerdraw_cpu,cpu_model,raw_energy_processor,raw_energy_memory
2,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),0 Wh,0 g,-,333.77 gCO₂e/kWh,90.4 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
1,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),0 Wh,0 g,-,333.77 gCO₂e/kWh,84.2 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
11,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),0 Wh,0 g,-,333.77 gCO₂e/kWh,90.2 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
8,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),3.51 mWh,1.17 mg,-,333.77 gCO₂e/kWh,97.6 %,1.07 GB,2s 1000ms,1,4.22 W,Intel Xeon Silver 4314,3.43 mWh,77.85 uWh
6,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),5.88 mWh,1.96 mg,-,333.77 gCO₂e/kWh,98.2 %,1.07 GB,5s 0ms,1,4.22 W,Intel Xeon Silver 4314,5.75 mWh,129.74 uWh
90,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),9.23 mWh,3.08 mg,-,333.77 gCO₂e/kWh,236.1 %,12.88 GB,2s 1000ms,3,4.22 W,Intel Xeon Silver 4314,8.3 mWh,934.16 uWh
89,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),577.9 uWh,192.89 ug,-,333.77 gCO₂e/kWh,47.1 %,1.07 GB,1s 0ms,1,4.22 W,Intel Xeon Silver 4314,551.95 uWh,25.95 uWh
104,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (12_1-133851895),0 Wh,0 g,-,333.77 gCO₂e/kWh,28.1 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
112,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (Y_1-59373566),0 Wh,0 g,-,333.77 gCO₂e/kWh,40.5 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
114,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (22_1-51304566),352.9 uWh,117.79 ug,-,333.77 gCO₂e/kWh,27.9 %,1.07 GB,1s 0ms,1,4.22 W,Intel Xeon Silver 4314,326.95 uWh,25.95 uWh
123,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (GL000212.1_1-186858),0 Wh,0 g,-,333.77 gCO₂e/kWh,39.3 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
117,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (GL000192.1_1-547496),0 Wh,0 g,-,333.77 gCO₂e/kWh,41.8 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
115,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (21_1-48129895),0 Wh,0 g,-,333.77 gCO₂e/kWh,24.6 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
101,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (9_1-141213431),0 Wh,0 g,-,333.77 gCO₂e/kWh,20.9 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
120,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (GL000193.1_1-189789),0 Wh,0 g,-,333.77 gCO₂e/kWh,36 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
100,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (8_1-146364022),0 Wh,0 g,-,333.77 gCO₂e/kWh,20.6 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
106,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (14_1-107349540),0 Wh,0 g,-,333.77 gCO₂e/kWh,10.3 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
94,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (3_1-198022430),0 Wh,0 g,-,333.77 gCO₂e/kWh,50.8 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
93,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-243199373),0 Wh,0 g,-,333.77 gCO₂e/kWh,50.4 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
113,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (19_1-59128983),84.54 uWh,28.22 ug,-,333.77 gCO₂e/kWh,5 %,1.07 GB,1s 0ms,1,4.22 W,Intel Xeon Silver 4314,58.59 uWh,25.95 uWh
108,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (16_1-90354753),0 Wh,0 g,-,333.77 gCO₂e/kWh,33.9 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
92,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),0 Wh,0 g,-,333.77 gCO₂e/kWh,42.1 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
98,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (7_1-159138663),0 Wh,0 g,-,333.77 gCO₂e/kWh,10.1 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
109,COMPLETED,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (17_1-81195210),0 Wh,0 g,-,333.77 gCO₂e/kWh,41.7 %,1.07 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
