task_id,status,name,energy_consumption,CO2e,CO2e_market,carbon_intensity,%cpu,memory,realtime,cpus,powerdraw_cpu,cpu_model,raw_energy_processor,raw_energy_memory
3,COMPLETED,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),0 Wh,0 g,-,333.77 gCO₂e/kWh,73.6 %,6.44 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
2,COMPLETED,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),15.48 mWh,5.17 mg,-,333.77 gCO₂e/kWh,96.8 %,6.44 GB,11s 1000ms,1,4.22 W,Intel Xeon Silver 4314,13.61 mWh,1.87 mWh
1,COMPLETED,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),15.71 mWh,5.24 mg,-,333.77 gCO₂e/kWh,98.4 %,6.44 GB,11s 1000ms,1,4.22 W,Intel Xeon Silver 4314,13.84 mWh,1.87 mWh
60,COMPLETED,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),232.98 mWh,77.76 mg,-,333.77 gCO₂e/kWh,200.3 %,38.65 GB,1min 10s 1000ms,6,4.22 W,Intel Xeon Silver 4314,166.66 mWh,66.33 mWh
12,COMPLETED,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),288.46 mWh,96.28 mg,-,333.77 gCO₂e/kWh,200 %,38.65 GB,1min 27s 1000ms,6,4.22 W,Intel Xeon Silver 4314,206.25 mWh,82.21 mWh
45,COMPLETED,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),367.88 mWh,122.79 mg,-,333.77 gCO₂e/kWh,203.1 %,38.65 GB,1min 50s 1000ms,6,4.22 W,Intel Xeon Silver 4314,264.19 mWh,103.69 mWh
10,COMPLETED,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),414.49 mWh,138.35 mg,-,333.77 gCO₂e/kWh,201 %,38.65 GB,2min 6s,6,4.22 W,Intel Xeon Silver 4314,296.79 mWh,117.7 mWh
52,COMPLETED,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP3),474.62 mWh,158.41 mg,-,333.77 gCO₂e/kWh,199.6 %,38.65 GB,2min 25s 0ms,6,4.22 W,Intel Xeon Silver 4314,339.16 mWh,135.45 mWh
4,COMPLETED,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),474.38 mWh,158.33 mg,-,333.77 gCO₂e/kWh,201.4 %,38.65 GB,2min 24s,6,4.22 W,Intel Xeon Silver 4314,339.86 mWh,134.52 mWh
31,COMPLETED,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_1000_REP1),489.8 mWh,163.48 mg,-,333.77 gCO₂e/kWh,200.8 %,38.65 GB,2min 29s 0ms,6,4.22 W,Intel Xeon Silver 4314,350.62 mWh,139.19 mWh
62,COMPLETED,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_10000_REP2),594.03 mWh,198.27 mg,-,333.77 gCO₂e/kWh,201.9 %,38.65 GB,3min,6,4.22 W,Intel Xeon Silver 4314,425.88 mWh,168.15 mWh
41,COMPLETED,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP1),423.62 mWh,141.39 mg,-,333.77 gCO₂e/kWh,202.7 %,38.65 GB,2min 8s 0ms,6,4.22 W,Intel Xeon Silver 4314,304.05 mWh,119.57 mWh
