task_id	status	name	energy_consumption	CO2e	CO2e_market	carbon_intensity	%cpu	memory	realtime	cpus	powerdraw_cpu	cpu_model	raw_energy_processor	raw_energy_memory
3	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED (genes.gtf)	12.16 mWh	4.06 mg	-	333.77 gCO₂e/kWh	96 %	12 GB	5s 0ms	2	4.22 W	Intel Xeon Silver 4314	5.63 mWh	6.53 mWh
2	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv)	0 Wh	0 g	-	333.77 gCO₂e/kWh	52.7 %	6 GB	0ms	1	4.22 W	Intel Xeon Silver 4314	0 Wh	0 Wh
4	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:TSS_EXTRACT	1.85 mWh	618.51 ug	-	333.77 gCO₂e/kWh	2.6 %	6 GB	2s 710ms	1	4.22 W	Intel Xeon Silver 4314	82.57 uWh	1.77 mWh
1	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa)	20.21 mWh	6.75 mg	-	333.77 gCO₂e/kWh	88 %	6 GB	11s 1000ms	1	4.22 W	Intel Xeon Silver 4314	12.37 mWh	7.84 mWh
17	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES (genome.fa.fai)	0 Wh	0 g	-	333.77 gCO₂e/kWh	64.4 %	6 GB	0ms	1	4.22 W	Intel Xeon Silver 4314	0 Wh	0 Wh
18	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes)	0 Wh	0 g	-	333.77 gCO₂e/kWh	51.6 %	6 GB	0ms	1	4.22 W	Intel Xeon Silver 4314	0 Wh	0 Wh
5	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_FAST_REP1_T1)	166.18 mWh	55.47 mg	-	333.77 gCO₂e/kWh	190.7 %	36 GB	26s 1000ms	6	4.22 W	Intel Xeon Silver 4314	60.34 mWh	105.84 mWh
8	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_FAST_REP2_T1)	370.21 mWh	123.56 mg	-	333.77 gCO₂e/kWh	137 %	36 GB	1min 6s 1000ms	6	4.22 W	Intel Xeon Silver 4314	107.57 mWh	262.64 mWh
6	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP1_T1)	1.48 Wh	494.04 mg	-	333.77 gCO₂e/kWh	703.9 %	72 GB	1min 32s 0ms	12	4.22 W	Intel Xeon Silver 4314	758.89 mWh	721.28 mWh
12	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_OMNI_REP2_T1)	931.4 mWh	310.88 mg	-	333.77 gCO₂e/kWh	153.1 %	36 GB	2min 43s 0ms	6	4.22 W	Intel Xeon Silver 4314	292.44 mWh	638.96 mWh
7	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1)	2.88 Wh	961.56 mg	-	333.77 gCO₂e/kWh	719.9 %	72 GB	2min 57s 0ms	12	4.22 W	Intel Xeon Silver 4314	1.49 Wh	1.39 Wh
10	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_OMNI_REP1_T1)	1.05 Wh	350.14 mg	-	333.77 gCO₂e/kWh	168.4 %	36 GB	2min 57s 1000ms	6	4.22 W	Intel Xeon Silver 4314	351.27 mWh	697.76 mWh
