task_id,status,name,energy_consumption,CO2e,CO2e_market,carbon_intensity,%cpu,memory,realtime,cpus,powerdraw_cpu,cpu_model,raw_energy_processor,raw_energy_memory
3,COMPLETED,NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv),0 Wh,0 g,-,333.77 gCO₂e/kWh,63.7 %,6.44 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
2,COMPLETED,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),9 mWh,3 mg,-,333.77 gCO₂e/kWh,50.2 %,12.88 GB,10s 0ms,2,4.22 W,Intel Xeon Silver 4314,5.88 mWh,3.11 mWh
16,COMPLETED,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:TSS_EXTRACT,868.75 uWh,289.96 ug,-,333.77 gCO₂e/kWh,1.4 %,6.44 GB,5s 48ms,1,4.22 W,Intel Xeon Silver 4314,82.82 uWh,785.94 uWh
1,COMPLETED,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),13.79 mWh,4.6 mg,-,333.77 gCO₂e/kWh,93.7 %,6.44 GB,11s 0ms,1,4.22 W,Intel Xeon Silver 4314,12.08 mWh,1.71 mWh
18,COMPLETED,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES (genome.fa.fai),0 Wh,0 g,-,333.77 gCO₂e/kWh,21.7 %,6.44 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
17,COMPLETED,NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),0 Wh,0 g,-,333.77 gCO₂e/kWh,7.1 %,6.44 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
5,COMPLETED,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_FAST_REP1_T1),83.28 mWh,27.79 mg,-,333.77 gCO₂e/kWh,193.6 %,38.65 GB,25s 1000ms,6,4.22 W,Intel Xeon Silver 4314,58.99 mWh,24.29 mWh
6,COMPLETED,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_FAST_REP2_T1),152.02 mWh,50.74 mg,-,333.77 gCO₂e/kWh,196.3 %,38.65 GB,47s 0ms,6,4.22 W,Intel Xeon Silver 4314,108.12 mWh,43.91 mWh
4,COMPLETED,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP1_T1),935.92 mWh,312.38 mg,-,333.77 gCO₂e/kWh,690.2 %,77.31 GB,1min 33s 1000ms,12,4.22 W,Intel Xeon Silver 4314,760.3 mWh,175.62 mWh
7,COMPLETED,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1),1.78 Wh,595.15 mg,-,333.77 gCO₂e/kWh,720.1 %,77.31 GB,2min 53s 0ms,12,4.22 W,Intel Xeon Silver 4314,1.46 Wh,323.22 mWh
