task_id,status,name,energy_consumption,CO2e,CO2e_market,carbon_intensity,%cpu,memory,realtime,cpus,powerdraw_cpu,cpu_model,raw_energy_processor,raw_energy_memory
1,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),819.48 uWh,273.52 ug,-,333.77 gCO₂e/kWh,0.7 %,6.44 GB,5s 0ms,1,4.22 W,Intel Xeon Silver 4314,41.02 uWh,778.46 uWh
2,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),15.92 mWh,5.31 mg,-,333.77 gCO₂e/kWh,96.9 %,12.88 GB,11s 0ms,2,4.22 W,Intel Xeon Silver 4314,12.49 mWh,3.43 mWh
214,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),0 Wh,0 g,-,333.77 gCO₂e/kWh,60.4 %,6.44 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
3,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),29.62 mWh,9.89 mg,-,333.77 gCO₂e/kWh,99.8 %,12.88 GB,20s 0ms,2,4.22 W,Intel Xeon Silver 4314,23.39 mWh,6.23 mWh
6,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),146.4 mWh,48.86 mg,-,333.77 gCO₂e/kWh,104 %,38.65 GB,1min 8s 0ms,6,4.22 W,Intel Xeon Silver 4314,82.88 mWh,63.52 mWh
17,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),155.26 mWh,51.82 mg,-,333.77 gCO₂e/kWh,104.3 %,38.65 GB,1min 12s,6,4.22 W,Intel Xeon Silver 4314,88 mWh,67.26 mWh
33,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Daro_REP3_T1),151.77 mWh,50.66 mg,-,333.77 gCO₂e/kWh,102.7 %,38.65 GB,1min 10s 1000ms,6,4.22 W,Intel Xeon Silver 4314,85.45 mWh,66.33 mWh
34,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_R1881_REP1_T1),141.4 mWh,47.19 mg,-,333.77 gCO₂e/kWh,103.1 %,38.65 GB,1min 5s 1000ms,6,4.22 W,Intel Xeon Silver 4314,79.74 mWh,61.65 mWh
43,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP3_T1),138.64 mWh,46.28 mg,-,333.77 gCO₂e/kWh,102.3 %,38.65 GB,1min 5s 0ms,6,4.22 W,Intel Xeon Silver 4314,77.92 mWh,60.72 mWh
10,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),149.72 mWh,49.97 mg,-,333.77 gCO₂e/kWh,102.8 %,38.65 GB,1min 9s 1000ms,6,4.22 W,Intel Xeon Silver 4314,84.33 mWh,65.39 mWh
