task_id,status,name,energy_consumption,CO2e,CO2e_market,carbon_intensity,%cpu,memory,realtime,cpus,powerdraw_cpu,cpu_model,raw_energy_processor,raw_energy_memory
1,COMPLETED,NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv),0 Wh,0 g,-,333.77 gCO₂e/kWh,53 %,6.44 GB,0ms,1,4.22 W,Intel Xeon Silver 4314,0 Wh,0 Wh
15,COMPLETED,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R2),93.9 mWh,31.34 mg,-,333.77 gCO₂e/kWh,89.1 %,45.1 GB,43s 1000ms,6,4.22 W,Intel Xeon Silver 4314,45.94 mWh,47.95 mWh
10,COMPLETED,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R3),136.69 mWh,45.62 mg,-,333.77 gCO₂e/kWh,108.1 %,45.1 GB,57s 1000ms,6,4.22 W,Intel Xeon Silver 4314,73.47 mWh,63.21 mWh
17,COMPLETED,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (K562_R2),86.33 mWh,28.82 mg,-,333.77 gCO₂e/kWh,94.2 %,12.88 GB,1min 1000ms,2,4.22 W,Intel Xeon Silver 4314,67.34 mWh,18.99 mWh
20,COMPLETED,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),22.08 mWh,7.37 mg,-,333.77 gCO₂e/kWh,56.5 %,6.44 GB,27s,1,4.22 W,Intel Xeon Silver 4314,17.88 mWh,4.2 mWh
5,COMPLETED,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),22.14 mWh,7.39 mg,-,333.77 gCO₂e/kWh,56.7 %,6.44 GB,27s,1,4.22 W,Intel Xeon Silver 4314,17.94 mWh,4.2 mWh
11,COMPLETED,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),22.96 mWh,7.66 mg,-,333.77 gCO₂e/kWh,56.7 %,6.44 GB,28s 0ms,1,4.22 W,Intel Xeon Silver 4314,18.6 mWh,4.36 mWh
14,COMPLETED,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),22.24 mWh,7.42 mg,-,333.77 gCO₂e/kWh,57 %,6.44 GB,27s,1,4.22 W,Intel Xeon Silver 4314,18.04 mWh,4.2 mWh
8,COMPLETED,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),23.16 mWh,7.73 mg,-,333.77 gCO₂e/kWh,57.3 %,6.44 GB,28s 0ms,1,4.22 W,Intel Xeon Silver 4314,18.8 mWh,4.36 mWh
4,COMPLETED,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES (genome.fa),26.37 mWh,8.8 mg,-,333.77 gCO₂e/kWh,80.1 %,45.1 GB,12s 1000ms,6,4.22 W,Intel Xeon Silver 4314,12.2 mWh,14.17 mWh
